,text,emotion
227,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
228,"Ketika saya berada di sebuah pesta, saya bertemu dengan seorang teman lama dari kursus pendidikan orang dewasa. Kami belum pernah bertemu selama 2 tahun tapi sama-sama berpikir banyak tentang satu sama lain. Pengalaman yang indah.",0
229,"Ketika saya bersepeda melewati taman pada suatu malam, dua orang melompat keluar dari hutan dan mencoba menghentikan saya. Ada yang meneriakkan sesuatu pada saat bersamaan.",1
230,Ketika kerabat dekat mencoba menghalangi saya untuk belajar Psikologi karena statusnya yang rendah.,2
231,Saya berdiskusi panjang tentang politik dengan seorang kenalan. Dia lebih berpengetahuan daripada saya dan saya gagal menjelaskan sudut pandang saya dan disalahpahami sehingga saya merasa tertekan dan pergi.,3
232,Ketika saya membaca artikel surat kabar tentang seorang gadis muda yang telah diperkosa dan diserang semalam oleh beberapa pria saat dia tidak sadarkan diri.,4
233,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
234,Ketika saya baru-baru ini mendapat apartemen di Gottenburg pusat.,0
235,Saat kulihat seekor laba-laba besar merayapi dinding.,1
236,Majikan saya terlalu banyak memikirkan aspirin untuk mendapatkan kesehatan yang buruk dan juga minum sejumlah besar semangat. Ini berbahaya dan dia tidak mengerti bahwa dia telah melakukan kesalahan.,2
237,"Ketika saya meninggalkan New York, dan seluruh keluarga dan teman-teman saya di belakang saya.",3
238,Saat aku tidur dengan cowok karena sahabatku menginginkanku. Dia tidak pernah berhubungan intim dengan siapa pun dan mengalami kompleksitas yang mengerikan.,4
239,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
240,Ketika anak saya kembali dari pendakian gunung - sehat di tubuh dan jiwa.,0
241,Ketika seseorang bertemu orang baru dengan siapa seseorang dipaksa untuk berkolaborasi.,1
242,Para nelayan olahraga yang menangkap burung camar bukan ikan dengan kaitnya. Seringkali sebuah kesalahan tapi itu membuat saya marah.,2
243,Saya merasa sedih dengan sebuah peristiwa yang tidak dapat saya pengaruhi.,3
244,"Ketika seorang anggota keluarga mengeluh tentang makanan yang disajikan, itu membuatku jijik.",4
245,Ketika saya diberitahu bahwa saya telah diterima sebagai mahasiswa Psikologi.,0
246,Ketika saya berada di sebuah kapal nelayan kecil dan kami mengalami cuaca yang sulit di laut terbuka.,1
247,Ketika saya tahu bahwa pria yang berkencan pada waktu tertentu memiliki hubungan yang stabil dengan orang lain untuk waktu yang lama.,2
248,Saya merasa sedih dan depresi ketika mendengar bahwa kucing kami telah meninggal.,3
249,"Ketika saya bekerja sebagai perawat di rumah sakit jiwa, seorang pasien mengisi isi spitoon pasien lain.",4
250,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
251,Saat saya diterima sebagai mahasiswa psikologi.,0
252,Saat anak saya sakit di kakinya (tanpa alasan yang jelas).,1
253,"Ketika, setelah seminggu di sekolah, seorang guru mengirim sebuah catatan ke rumah dengan mengatakan bahwa anak saya lalai dan tidak dapat melakukan pelajarannya.",2
254,Ketika saya berpikir bahwa tidak mungkin saya mulai belajar (karena salah informasi dari penasihat siswa).,3
255,"Pada orang tertentu kekurangan kebersihan, di rumah dan pribadi.",4
256,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
257,Saat anak saya lahir.,0
258,Saat saya hampir tenggelam dalam air es yang memakai sepatu es. Sulit untuk keluar.,1
259,Ketika saya ditunjukkan sebagai anak bermasalah di sekolah dasar dan ibu saya mengambil sudut pandang guru.,2
260,Ketika saya dituduh mengabaikan pekerjaan karena alasan yang salah.,3
261,"Sikap orang tua saya terhadap satu sama lain saat mereka harus berdamai, terlepas dari kecanduan lama ayah saya.",4
262,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
263,"Bila setelah 10 bulan pelayanan nasional saya ""diturunkan"" dan tidak perlu melakukan 5 bulan lagi.",0
264,Ketika saya ditegur oleh manajer hotel tempat saya bekerja pada musim gugur 1984.,1
265,"Ketika orang tua saya mengantarkan saya ke tempat terdekat dan segera pulang, bukannya menunggu beberapa jam. Mereka bisa dengan mudah menunggu.",2
266,Ketika mantan pacar saya dan saya menemukan bahwa ada risiko dia hamil.,3
267,Ketika saya hendak membersihkan papan pengeringan dan melihatnya tampak di bawah wastafel (saya tinggal di asrama siswa).,4
268,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
269,Ketika kakak perempuan saya memberi tahu kami bahwa dia sedang berpikir untuk bergabung dengan anggota keluarga lainnya selama liburan olahraga musim dingin.,0
270,Tidur di kapel dan di tengah malam aku menyadari bahwa ada beberapa orang lain di kapel. Saya tidak pernah menemukan siapa itu dan mengapa dia ada di sana.,1
271,"Saat kami di SMA beberapa orang terkadang memprovokasi temanku. Mereka memanggilnya babi dan kemudian mendengus. Ini membuat sebagian besar wanita kesal. Suatu ketika, salah satu gadis itu marah pada temanku dan mengatakan sesuatu yang buruk dan ini membuatku sangat marah.",2
272,Saya berbicara dengan pacar saya di telepon saat saya berenergi tinggi dan harus banyak bercerita kepadanya. Saya telah menanti-nantikan percakapan ini dan dia tidak mendengarkan saya sejauh yang saya perkirakan.,3
273,Seorang ibu yang berteriak pada anaknya untuk apa-apa.,4
274,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
275,Ketika saya melewati hari pertama di departemen ini.,0
276,Ketika saya bersepeda melewati mobil yang diparkir seseorang membuka pintu dan hampir mendorong saya turun dari motor dan lalu lintas.,1
277,Ketika pacar saya duduk setengah malam bermain game komputer bersama seorang teman.,2
278,Ketika saya harus meninggalkan ibu dan saudara perempuan saya setelah kunjungan seminggu.,3
279,Ketika saya melihat seekor laba-laba besar dari tempat yang sangat dekat.,4
280,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
281,Ketika saya diminta untuk menjadi ibu baptis anak.,0
282,Dalam perjalanan menuruni lereng ski yang sulit dan curam.,1
283,Saat ibuku ikut campur dalam hidupku.,2
284,Ketika saya ditinggalkan sendirian satu minggu tanpa persiapan untuk itu.,3
285,Pertama kali saya melihat seorang ahli bedah memotong kaki dan memasukkannya ke dalam kantong sampah hitam.,4
286,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
287,Ketika suamiku tiba-tiba datang menemuiku di pekerjaan baruku dan membawa beberapa bunga dan kue bersamanya.,0
288,Ketika saya hampir diserang oleh seorang pria yang telah mengejar saya.,1
289,"Ketika ayah saya bertanya kepada saya apakah saya seorang komunis, pada saat bersamaan dia menjelaskan bahwa saya seharusnya tidak lagi menganggap diri saya sebagai anak perempuannya.",2
290,"Ketika saya melamar pekerjaan yang menurut saya memiliki peluang bagus untuk mendapatkan, saya bahkan tidak diberi wawancara dan tidak mendapatkan pekerjaan itu.",3
291,Fitur T.V menunjukkan pelanggaran orang tak berdaya.,4
292,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
293,Ketika kami mampu membeli sofa baru - satu kulit yang harganya SEK 20000. Saya telah menunggunya selama 2-3 tahun.,0
294,Vertigo - berdiri di atas tangga dan melukis rumah.,1
295,Ketika atasan saya mendaftarkan diri untuk mengikuti tujuannya sendiri - menginjak rekannya. Saya memiliki kemalangan untuk memiliki salah satu atasan saya dalam kursus saya.,2
296,Ketika saya berdebat dengan ibu saya tentang cara dia memperlakukan kedua anaknya secara berbeda.,3
297,Meludah dan muntah.,4
298,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
299,"Ketika saya baru-baru ini berhasil mendapatkan tugas konsultasi pertama saya ""sendiri"" saya atas inisiatif saya sendiri.",0
300,Aku berada di dalam jangkauan rambut yang merobohkan seorang pemabuk yang tiba-tiba lari ke jalan. Rasa takut datang kemudian ketika saya menyadari apa yang bisa terjadi.,1
301,"Saat temanku, seperti biasa, lupa tiket di rumah untuk pertunjukan. Kami melewatkannya.",2
302,"Pemilu 1982 dan 1985. Pemikiran tentang apa yang dapat dicapai mayoritas demokrat sosial dan komunis, terutama dana ""pekerja berbagi"" dan perpanjangannya.",3
303,"Kunjungan studi ke pabrik ayam: penjagalan, bau, lingkungan dan kebisingan.",4
304,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
305,Ketika saya ditunjuk untuk posisi kepercayaan dalam kelompok yang dibentuk untuk mengubah lingkungan kerja.,0
306,Saya sendirian di sebuah pondok yang sering saya tinggali. Saya terbangun oleh suara gemeresik di tengah malam.,1
307,"Ketika saya mencoba menjelaskan kepada tukang ledeng, muka dengan muka, bahwa toilet itu rusak dan dia tidak mempercayainya (sudah diperbaiki sepuluh kali).",2
308,Ketika hasil pekerjaan proyek diperlakukan dengan tidak sadar karena dikritik oleh guru.,3
309,Saat program kekerasan atau pornografi ditampilkan di T.V.,4
310,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
311,Setelah gadis saya dan saya membicarakan hal-hal selama hubungan kami berubah dan menjadi positif. Waktu diifikan berubah menjadi menyenangkan.,0
312,Ketika kita tidak bisa mendaratkan pesawat kita dan kita tahu bahwa bahan bakar sudah habis. Cuaca buruk sudah membuat kami ketakutan.,1
313,Ketika saya membaca tentang keputusan taktis Reagan tentang boikot Afrika Selatan.,2
314,Ketika saudara tiriku sakit parah karena kanker dan meninggal nanti.,3
315,Sebuah film adalah seorang wanita diserang dan diperkosa. Seseorang tidak melihat yang terburuk tapi memiliki efek yang diinginkan - sangat kuat.,4
316,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
317,"Ketika saya ditawari posisi kepercayaan yang tinggi, yang kemudian saya terima.",0
318,Aku membuka jendela dan pintunya tertutup sehingga anak kucing itu tidak mau keluar. Pasangan saya masuk dan mulai membicarakan sesuatu dan saya lupa tentang jendela dan tiba-tiba saya melihat anak kucing itu menggantung dari bingkai jendela. Aku kaku ketakutan sampai aku memeluknya.,1
319,Beberapa tamu berisik tiba di hotel. Saya sedikit kesal sebelumnya. Pada malam hari ketika saya sedang mencoba untuk tidur mereka mengadakan pesta jadi saya pergi dan berteriak pada mereka. Saya ingin tidur karena saya harus bangun pagi esok harinya.,2
320,Ketika saya diberitahu bahwa saya tidak berhasil mendapatkan pekerjaan yang saya harapkan. Saya yakin bahwa saya cukup berkualitas.,3
321,Saat kucing saya muntah dan cacing keluar yang masih hidup. Saya terpaksa menghapusnya.,4
322,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
323,"[Bersepeda di bawah sinar matahari musim semi memberi saya kesenangan seperti itu. Kebahagiaan adalah menjadi sehat, keuangan saya yang luar biasa. Cukup berada di bumi sini.]",0
324,"Ketika hubungan saya dengan keluarga saya sangat buruk, saya sering takut dikecualikan dari kelompok tersebut, sebuah ketakutan yang lebih kuat dalam situasi ketika sebuah argumen ada di tangan.",1
325,"Baru-baru ini ketika kakak perempuanku, yang empat tahun lebih muda dariku dan sangat manja, berteriak pada ibuku tanpa alasan yang jelas. Ekspresi patah hati di wajah ibuku membuatku merasa sangat marah.",2
326,"Ketika saya menyaksikan program T.V yang disebut ""Planet hidup"" dan melihat kerusakan lingkungan yang jauh terjadi yang disebabkan oleh manusia.",3
327,"Rasa jijik adalah perasaan yang tidak pernah saya alami dengan orang lain, tetapi sebaliknya, telah terjadi dengan binatang yang menjijikkan, saya ular pada T.V.",4
328,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
329,Tidak berbicara dengan ipar perempuan saya karena kurangnya minat untuk menjalin hubungan di sisi saya.,0
330,"Ketika saya baru-baru ini berhasil mendapatkan tugas konsultasi pertama saya ""sendiri"" saya atas inisiatif saya sendiri.",1
331,Aku berada di dalam jangkauan rambut yang merobohkan seorang pemabuk yang tiba-tiba lari ke jalan. Rasa takut datang kemudian ketika saya menyadari apa yang bisa terjadi.,2
332,"Saat temanku, seperti biasa, lupa tiket di rumah untuk pertunjukan. Kami melewatkannya.",3
333,"Pemilu 1982 dan 1985. Pemikiran tentang apa yang dapat dicapai mayoritas demokrat sosial dan komunis, terutama dana ""pekerja berbagi"" dan perpanjangannya.",4
334,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
335,"[Tidak ada jawaban karena saya melihat sedikit perbedaan antara rasa malu dan rasa bersalah. Karena itu lihat jawaban untuk ""rasa malu"".]",0
336,Ketika saya ditunjuk untuk posisi kepercayaan dalam kelompok yang dibentuk untuk mengubah lingkungan kerja.,1
337,Saya sendirian di sebuah pondok yang sering saya tinggali. Saya terbangun oleh suara gemeresik di tengah malam.,2
338,"Ketika saya mencoba menjelaskan kepada tukang ledeng, muka dengan muka, bahwa toilet itu rusak dan dia tidak mempercayainya (sudah diperbaiki sepuluh kali).",3
339,Ketika hasil pekerjaan proyek diperlakukan dengan tidak sadar karena dikritik oleh guru.,4
340,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
341,Ketika saya memutuskan untuk berlibur seminggu tanpa berkonsultasi dengan keluarga terlebih dahulu.,0
342,Setelah gadis saya dan saya membicarakan hal-hal selama hubungan kami berubah dan menjadi positif. Waktu diifikan berubah menjadi menyenangkan.,1
343,Ketika kita tidak bisa mendaratkan pesawat kita dan kita tahu bahwa bahan bakar sudah habis. Cuaca buruk sudah membuat kami ketakutan.,2
344,Ketika saya membaca tentang keputusan taktis Reagan tentang boikot Afrika Selatan.,3
345,Ketika saudara tiriku sakit parah karena kanker dan meninggal nanti.,4
346,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
347,Saya telah berjanji untuk mengunjungi pacar saya tapi karena alasan yang berbeda tidak dapat melakukannya. Aku menelepon lagi untuk memberitahunya bahwa aku tidak bisa datang.,0
348,"Ketika saya ditawari posisi kepercayaan yang tinggi, yang kemudian saya terima.",1
349,Aku membuka jendela dan pintunya tertutup sehingga anak kucing itu tidak mau keluar. Pasangan saya masuk dan mulai membicarakan sesuatu dan saya lupa tentang jendela dan tiba-tiba saya melihat anak kucing itu menggantung dari bingkai jendela. Aku kaku ketakutan sampai aku memeluknya.,2
350,Beberapa tamu berisik tiba di hotel. Saya sedikit kesal sebelumnya. Pada malam hari ketika saya sedang mencoba untuk tidur mereka mengadakan pesta jadi saya pergi dan berteriak pada mereka. Saya ingin tidur karena saya harus bangun pagi esok harinya.,3
351,Ketika saya diberitahu bahwa saya tidak berhasil mendapatkan pekerjaan yang saya harapkan. Saya yakin bahwa saya cukup berkualitas.,4
352,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
353,Ketika saya mencuri uang dari ibu saya dan dia bertanya kepada saya nanti apakah saya bertanggung jawab. Saya tidak pernah mengakuinya.,0
354,"[Bersepeda di bawah sinar matahari musim semi memberi saya kesenangan seperti itu. Kebahagiaan adalah menjadi sehat, keuangan saya yang luar biasa. Cukup berada di bumi sini.]",1
355,"Ketika hubungan saya dengan keluarga saya sangat buruk, saya sering takut dikecualikan dari kelompok tersebut, sebuah ketakutan yang lebih kuat dalam situasi ketika sebuah argumen ada di tangan.",2
356,"Baru-baru ini ketika kakak perempuanku, yang empat tahun lebih muda dariku dan sangat manja, berteriak pada ibuku tanpa alasan yang jelas. Ekspresi patah hati di wajah ibuku membuatku merasa sangat marah.",3
357,"Ketika saya menyaksikan program T.V yang disebut ""Planet hidup"" dan melihat kerusakan lingkungan yang jauh terjadi yang disebabkan oleh manusia.",4
358,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
359,"Ketika, karena kelaparan dan kelelahan, saya menjadi sangat kesal dengan tunangan saya dan membuat ucapan pemotongan yang benar-benar menyakitinya. Kemudian saya menyadari bahwa iritasi saya yang tidak berdasar telah menyakiti orang yang paling saya cintai di bumi....",0
360,Seorang gadis empat tahun lari dari ayahnya tepat di depan mobilku. Saya terpaksa menggunakan rem darurat.,1
361,[Setelah diperiksa saya puas dengan.],2
362,Ketika seorang rekan gagal menghubungi saya pada waktu yang telah diatur.,3
363,Saat saya membaca slogan-slogan rasis di dinding.,4
364,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
365,Saat saya melahirkan seorang anak yang sehat.,0
366,Ketika suami saya dan saya menghabiskan malam di rumah di sebuah daerah di pinggiran kota besar yang tidak kami kenal. Kami mendengar suara-suara aneh di luar rumah dan rumah itu memiliki dinding kaca sehingga semuanya menjadi lebih menakutkan.,1
367,Cemburu pacar lama suamiku. Kami bertemu dengannya dengan suaminya dan ada banyak kenang-kenangan.,2
368,Ketika putriku bermasalah dengan teman-temannya dan aku bisa melihat keadaannya dari jendela. Dia diberi sebuah bahunya yang dingin.,3
369,"Ketika saya menjadi perawat tambahan di rumah sakit dan saya harus mengganti popok, untuk pertama kalinya, dari seorang wanita yang sangat tua dan sakit.",4
370,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
371,Ketika suami saya dan saya memutuskan untuk berlibur beberapa hari setelah masa percobaan.,0
372,Sebelum kunjungan di rumah sakit sebelum melakukan D & C di bawah anastesi untuk keguguran yang diharapkan.,1
373,Pertukaran sudut pandang dengan adik perempuan saya dalam masalah keluarga.,2
374,Pengobatan menjadi hamil dengan hasil negatif.,3
375,"Ketika saya bangun pada suatu pagi dan pergi ke dapur, saya menemukan bahwa anjing kami menderita diare. Ada tumpukan kecil di lantai dan baunya tercekik.",4
376,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
377,Ketika saya melahirkan seorang anak dan melihat bahwa itu normal saat dipukul melawan payudara saya.,0
378,Selama persalinan saat suara janin menjadi pingsan dan ada peringatan besar untuk melahirkan forseps.,1
379,"Di sebuah meja kas di mana saya pergi membeli 16 gulungan kertas dapur dengan harga yang lebih rendah. Setelah antri dengan anak-anak yang menjerit; ternyata saya telah mengambil dua paket gulungan 8, bukan satu paket gulung 16 yang di rebate. Asisten mengatakan ""Anda harus mendapatkannya lagi nanti.""",2
380,Ketika saya pertama kali mendengar bahwa Tage Dannielsson telah meninggal dunia.,3
381,Lift stasiun sentral Stockholm berbau muntah dan air kencing.,4
382,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
383,Ujian masuk SMA.,0
384,"Sekelompok pemuda yang berteriak dan mabuk ""menangkap"" sebuah trem.",1
385,Keputusan menolak yang tidak adil pada sebuah acara olahraga ketika saya menjadi pemimpin tim.,2
386,Saat pacarku meninggalkanku.,3
387,"Saya didominasi oleh orang tertentu dan meskipun saya tahu itu, saya tidak dapat mengubah reaksi saya sendiri.",4
388,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
389,"Kemarin, ketika peluit akhir meniup pada pertandingan final antara OIS dan IFK dan yakin bahwa OIS telah memenangkan gelar Swedia.",0
390,"Saya sedang mengajar seseorang untuk dikendarai dan saat kami akan menabrak, saya ketakutan.",1
391,Seorang drummer yang telah meminjam drum saya menghancurkan kulit drum dan stiknya. Dia tidak memperbaiki mereka dan juga tidak menceritakannya kepadaku.,2
392,Saat ayahku memberi prioritas pada band saudara laki-laki dan kegiatannya yang lain. Kami berdua bermain di berbagai band dan berlatih di garasi orang tua saya.,3
393,Seorang teman secara tidak adil menyalahkan saya untuk meredakan nuraninya dan juga menyebarkan kebohongan untuk tujuan yang sama.,4
394,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
395,"Saat saya menyelam di antara hiu dan ikan berwarna cerah di terumbu luar Tvavni, Fidgi.",0
396,"Ketika saya rindu menerjang, dengan lebar rambut, ke seorang pria yang keluar 20 meter di depanku saat aku mengemudi di jarak 110km / jam.",1
397,Ketika saya memberi tahu seorang guru komputer yang tidak ingin mengajari saya beacause of prasangka.,2
398,Bila aku tidak bisa berbuat apa-apa karena mendapat kabar buruk.,3
399,Ketika saya menemukan bahwa rumah yang kami sewa di Tonga penuh dengan kecoak.,4
400,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
401,Ketika saya lulus tes mengemudi tiga minggu yang lalu dan mendapat lisensi saya.,0
402,Saat mobil yang sedang saya kendarai tergelincir di jalan yang dingin dan mendarat di selokan dengan satu sisi menempel batu.,1
403,Saat saya bertemu teman yang belum pernah saya lihat selama 2-4 tahun terakhir.,0
404,Ketika seorang pria mengejar saya saat saya sedang jogging.,1
405,Saat koran pagi belum tiba.,2
406,"Saya merasa sangat senang dengan hubungan antara pacar saya dan saya, ini adalah perasaan yang reoccurring.",0
407,Rasa takut berulang bahwa sesuatu akan terjadi pada keluarga saya.,1
408,"Ketika saya berdebat dengan pacar saya, saya merasa seolah-olah dia merasa lebih unggul dari saya.",2
409,Saat saya gagal ujian musim panas lalu. Saya telah bekerja sangat keras untuk itu dan saya sangat kecewa karena berpikir bahwa tidak ada harapan untuk melanjutkan kuliah. Saya melakukan tindakan berlebihan.,3
410,Saya sangat senang saat mendapat pekerjaan musim panas yang menarik.,0
411,Kelahiran anak saya,0
412,"Ketika saya harus meninggalkan bayi di kereta dan pergi berbelanja, saya khawatir ada sesuatu yang akan terjadi pada bayi itu.",1
413,Ketika selama musim dingin pipa air membeku dan kami tidak memiliki air selama dua hari.,2
414,Saya tidak cukup berhasil menyusui bayiku.,3
415,Â Bau bawang putih di bus buru-buru.,4
416,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
417,"Selama liburan Natal, saya bertemu dengan beberapa teman lama saya, setelah tidak pernah melihat mereka selama enam bulan.",0
418,"Kami mengendarai mobil seorang teman saya saat kami berbelok ke arah yang salah menuju sebuah distrik yang tidak diketahui, dan hampir melaju menyusuri tebing curam.",1
419,Ketika guru agama kami menyajikan pemikiran sekte dan hari malapetaka yang mengejutkan sebagai pengajaran resmi.,2
420,"Kakek saya meninggal, saat saya menjadi mahasiswa pertukaran di Amerika Serikat.",3
421,"Saya kebetulan melihat film video-tape ""This is America - Part one"" di tempat temanku.",4
422,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
423,"Di eskalator bawah tanah, seorang gelandangan muda bertanya kepada saya tentang uang. Meskipun saya tidak memberinya apa-apa, rekan tersebut mengatakan bahwa saya benar-benar tampan. Seorang pria yang berada di depanku juga berpaling untuk menatapku.",0
424,Aku takut pindah dari rumah dan pindah ke Helsinki untuk belajar.,1
425,"Di dapur siswa yang kita bagikan, seseorang minum dari pot jus saya (satu liter) sehingga saya hanya mengeluarkan satu gelas dari keseluruhan pot.",2
426,Ayah saya memberikan uang kepada saudara laki-laki saya tapi tidak kepada saya.,3
427,"Selama akhir minggu di rumah, ibuku menyantap hidangan daging berminyak dan tidak sehat yang membuatku merasa sakit.",4
428,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
429,"Sekitar pukul sembilan, saya pulang dengan bersepeda di jalur siklus gelap; Karena kekurangan waktu saya harus mengambil jalan pintas.",1
430,Suatu ketika saya harus pulang dengan berjalan kaki pada pukul 5 pagi saya harus melewati hutan dan saya sendiri.,1
431,Saya merindukan kereta dan harus menunggu berikutnya selama dua jam. Untuk alasan ini saya melewatkan sebuah janji yang sangat penting bagi saya.,2
432,Saat nenekku meninggal. Aku telah tinggal bersamanya selama sepuluh tahun.,3
433,"Ketika saya pulang dengan kereta api dari Sicilia, saya dilecehkan oleh seorang pria.",4
434,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
435,"Seseorang dengan siapa saya telah melakukan hal yang buruk, memberi saya hadiah. Kami berdamai.",0
436,"Ayah seorang teman telah meninggal, saya akan datang dan menemui teman ini meski saya tidak mengenal keluarganya.",1
437,Saya sedang menonton TV bersama seorang teman. Setelah film pertama saya ingin menonton film lain di saluran yang sama. Teman saya beralih ke terowongan lainnya tanpa menanyakan apa yang saya inginkan.,2
438,"Teman laki-laki saya, saya memisahkan inisiatifnya.",3
439,"Teman teman laki-laki teman merawatnya dengan sangat buruk, biarkan dia melayaninya, memancingnya dan hanya memanfaatkannya.",4
440,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
441,"Setelah mempertimbangkannya selama berjam-jam, saya bisa mengatasi keberatan saya dan untuk memanggil seorang teman yang dengannya saya telah jatuh cinta. Saya menyadari bahwa keputusan saya benar - dan sangat senang.",0
442,Setelah tidur sebentar aku terbangun - aku merasakan seseorang berdiri di sampingku dan sangat ketakutan. Saya harus menyalakan lampu lampu selama beberapa menit sebelum saya bisa tidur lagi.,1
443,"Aku pindah ke sebuah flat. Seorang teman yang pernah tinggal di sana sebelumnya, telah meninggalkan flat itu dalam kekacauan yang mengerikan. Saya sangat marah dengan kecerobohan dan ketidakpedulian itu.",2
444,"Ayahku mengalami operasi yang rumit. Lama sebelumnya dan juga lama setelah itu, kami tidak tahu bagaimana dia bisa mengatasinya. Selama waktu itu aku merasa sangat sedih.",3
445,Di dalam kereta-kereta: Seorang asing menghina seorang gadis hanya karena dia meniup hidungnya. Aku membenci tingkah lakunya.,4
